seed,run_id,attempt,run_status,git_commit,environment_sha256,config_sha256,metrics_sha256,planned_conditions_sha256,analysis_git_commit,analysis_script_sha256,analysis_python
0,5cab8358-a448-43e6-8913-b1d865b6a323,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0000/20260715T113953.991286Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,16eda9006dfd503626c7114576bf039b99279505f6881d95162fda048af7c429,2fff795a392c256c2383690c1e1f04c9d9e2fd90fa198b3b67c97b57b54f4f7b,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
1,b04c2688-0830-4ae6-84ad-96613a164a23,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0001/20260715T113953.986840Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1c03da2a029d743c3fc49cbd99b41da4aa2ccc83949d9b7bca0d05c7c392abf8,d1ff78b78346489d6f92ecf44cffc3f966da8cf535da9d6579650f4236e8ffce,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
2,b4f286ec-8815-4e77-beaf-948e13481620,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0002/20260715T113953.972624Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1577c64fc5e01ccfd92b28fef0bde01866f47e57acad8daf4356c6c0df28dc38,4fde07df8b53cb5e1ddf685ace34f245fef01d7c3fffd4336f36d679a0491b91,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
3,cc5a7c14-8e4d-458d-b63a-09aae85f8f5b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0003/20260715T113953.996771Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,8db5a06488357f8c68c34f9c50ef785337e54311f71fbd3a1a1ed894ca7c23c0,8de60ce6a1f8fd4547f4ab07fc599b60256b8f4536952e837028caa7e7772115,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
4,f8d196c0-bf1c-49fc-947e-1cc6ebaefa87,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0004/20260715T113958.341943Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c208227b2865e5fa61617aac6347ccf6f8e24599c9112352dd96aaa935393d8b,a0c7c3c8c9bd6aadd30c36feded27908e92daa20ddb5534208e94b84fad75dd9,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
5,38ddda78-8457-4d33-99bb-81695151a62a,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0005/20260715T113958.090304Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,70217087210db0b63cae438189681cebbd564df70aa40c1a23f017aa47c2d629,5a45376a7f04fc25fdbd98208e9de4f3e8a28cdf9efdd30a494c6462cb65a8cc,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
6,b473a68a-8493-429c-ad00-4d469a2df30b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0006/20260715T113958.481337Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,646bd79bccd2ca6e5b25a9a5b93f8136e4fa16ccda8cefc8f7599b5e5ccb78c8,91a8fa898408fb86b760ea5b78da966bf673cea34ca731ec608f862cf3086323,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
7,d06ac1ef-164d-4c33-8124-4cc3180e1651,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0007/20260715T113959.117505Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,61352a79da7e147058bcfe1c64bd1942b30f42695136c21441411d734774a94c,b3af0e993edd6a92c30e24118ea63ac15a7c80af007b5191c62925a02f2b059f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
8,93bc6591-07b7-4318-b5ad-cd36b30c6a06,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0008/20260715T114002.267448Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c2a0b83c7ca4e31d2ca4b61ea202d14553bb01cc635136415243ba0e5520ba54,4a0534d2efd3bbdd80b2951e86999a8191566a889761b6c9a71e21dd00d1bb3f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
9,c6b80655-dca2-4e67-b523-0a48b07f278e,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0009/20260715T114002.538307Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,687d7be271bf1d7076dea5def5bb5d79b5536ed9d5ad1f96e06b5d5381cdf740,f52cc4a877b9287392bbc8accd0e3d0c0fda86ea359a217dd1532046b860ecfc,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
10,8f916217-2a0c-4336-baee-c2702a2f333f,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0010/20260715T114003.438178Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,47010197c1cb0eb3578f79c05960e697c3ea0e4f8e851c5cbf6d5eb95841d82e,a2907fecf291544dd0e75e8453d899cbb8957cadbd7055cd33966d9eda47aa64,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
11,3188b867-2e9a-49bb-9057-be75f5f65124,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0011/20260715T114003.926207Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c1d442298031914fe5b82caf1ac2f57ece8f0824975b04b216f750ef8ed63db8,00b1211c40b2ba19f2b93408e1261ae0ebd843f26feaaa6493c4c6c5f317ac82,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
12,d39b8488-1efa-49a4-8043-18518ddc0895,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0012/20260715T114006.227639Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,9fdeca8fc66cabc2fe7b462684bd942e26d56b960831e3ca890c036c6644afeb,84823dc1ce5f280c8ae5814cd31f183cc2a9f8ff015a28c85b3270f4ea78309f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
13,1ccdf354-17c5-42ee-bda4-d3e07808f394,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0013/20260715T114006.917461Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,3f965478173298307a097cf9b7a9681cc1eb2d27b3395b9d70549d0eabf54bd7,5a6259e6400bde6894bfda2ff505756930657d30794b2c5eec62df56b67dc001,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
14,cbab4e86-b0dc-45c0-8570-ec4a5d8f1eca,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0014/20260715T114007.882515Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,e07ee784e79a2651060ab52a56c90ed903e174966aed97acb4f2378a3003981a,558d5584868b8ea43ff72073f70de79e67af69bf4dfbd6a2b9fc18a2f8f3066d,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
15,7a2e82bb-59b8-4f61-8472-93c9608e4b83,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0015/20260715T114008.789579Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,e9fcfa2914598bdc3f48d1ac7cd8cd0f4557dc09e0e37a6a54283f1fa1a77ad2,ea27c602ffd2d6fcdfc941a623af688cd0074dcb4a6defb21512b82b9087daae,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
16,2ab33bb3-d260-49d1-95ad-9047f293220c,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0016/20260715T114010.565234Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,dd46702e97c9c12f8d7b4ddcd52c7d693cfe4dec997c151f8c7eb4fb213fd48d,565010a18275ab1e10a6930ae6465663bf3aa549937c79a2d612183aabb4414d,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
17,5d3c887d-bd2d-438c-9fe2-789b95602655,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0017/20260715T114010.917898Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,75b47863e0af6e6f495a4b2ceddb11126470beb0e8150a83a3050e5b7a471d82,826ab97e7d83759d860dff653ff20725388aa9e419b9dd5b9dd608370e5f2a17,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
18,179dcc92-edb9-44f0-9391-7105b38c4464,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0018/20260715T114012.204716Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,faef0e23cb332755b4fa9bd8455a5b25bc9c1e76946dbbdccc582d7a1804c808,d65dd9f9fe9ec55bd13e1bcd486781e067b6400f76006567edd7666ecd846c30,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
19,d60686f6-174a-4e38-b244-0372fd89bd88,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0019/20260715T114013.172675Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1556ded03360a7e6acf02f2dc005ac7f214962536be04b35916739745f554de1,4e88c70d83a2a111f7716f9b4377d10ae41b3aebebca4b2e0ad9a93b8ae7d1d7,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
20,ab812489-29b2-46fc-859f-e5cefc25a7ef,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0020/20260715T114014.899030Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,83575b7b9f41758ffcdabe803ebc87fe0ac5a1e2e6739962d674b83ff57715c6,944ff1f25c60ae1c39945cd777104b86de7f8bc9201e502c5d5a10dc57b33534,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
21,e02b099e-3a94-4564-9ed3-9287b1f52605,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0021/20260715T114014.971206Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,4d8d3848b53642b40f6b865d646b967c34efb3f123ad828e1b4035444dabd42e,d3ef56f0d12d606d95b9bb0cafe43cd74c2875f8f9e1a9750da20d9984ddc0d9,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
22,63310578-8c15-467b-84d2-3b94feb3402b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0022/20260715T114017.057573Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,03cb1ab3816b7686d11bb66823ebeb6b870f865b237b84922c0d928a7742874a,cfb4dfbaf03581dd1c02a1b39eebb332462f4457e6fdc039e0afd9d832dd92e3,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
23,e24d98ca-8abc-43d5-81ce-7557dfdac289,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0023/20260715T114017.480719Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,3dce1ab9d609d3588697705398d2474944fd4d89870f4a62593230c335803f27,b5ed7d81b79d65e0e87c40da927f7a6d8a1f8ea259b06d6b15cba34774b90b69,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
24,ad3d37fe-cb17-478e-bc19-11aeab940ced,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0024/20260715T114018.866283Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,d1efa0f0ce74537f55be2bff17bc05053daad8dde00806818b8f342b4c292db6,308d80b36d49c33d2f8ff7f88c9eac74248d77de98eb185ced22bd776f560e07,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
25,70c85790-0b28-45c3-b8f7-ed10bec9d735,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0025/20260715T114018.985464Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,e301c6f4b192ed3147397ecc9fef85aaee0de94955b165685b2dc8d91726b5bc,29598a34a01b10ed29dcbbf6a59309f6eb8e2e849ab0776784fc6ee44873b817,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
26,315ae7b4-e410-4244-9a02-5751bf236d07,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0026/20260715T114021.759726Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1bf71c7ffb5cc1e5ed08c94fc1e607d67259a9a6ca89e86733dfdc08f247a56e,8147f6aef8dd03fb6b51fdfc6e5cd74a33842f46ff7152c6ee84fe3aab03bc6c,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
27,de64d539-0b27-421f-bd23-2f543d9d643a,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0027/20260715T114021.771776Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,f74aaf5784644e555e8f78ad37934c1ea4af9d40d8c9cc10015b5b6c5cc97a60,e06f927fb8da7f14e01951c6877d3c008f298d81e88ee0e8634df3bdbb29f4b8,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
28,0e05db90-6654-4442-8a85-e9bed4c9725d,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0028/20260715T114023.174901Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,18fdce2d46feb2350ae5f952195d842710d52975a02b2c4199129c54ab10821a,78cb5c45b016b554b530240381a46a4e89595a379bdb652a7d1d337f4df04586,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
29,8919edfd-43b0-447d-8266-a63ef419394b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0029/20260715T114023.388662Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,903e0b0071821d29a435c1e47ab87755b340578d88308a698d9df6799f51538d,f62f32af9331d476303bfbe3ead1db24491327a8b2499bf236ca6755637c419a,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
