seed,run_path,run_status,condition_failures,condition_invalid
0,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0000/20260718T053758.184393Z_exp31_formal_v1_9b06805,complete,0,0
1,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0001/20260718T053759.329281Z_exp31_formal_v1_9b06805,complete,0,0
2,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0002/20260718T053800.517717Z_exp31_formal_v1_9b06805,complete,0,0
3,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0003/20260718T053801.479054Z_exp31_formal_v1_9b06805,complete,0,0
4,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0004/20260718T053802.255234Z_exp31_formal_v1_9b06805,complete,0,0
5,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0005/20260718T053803.365235Z_exp31_formal_v1_9b06805,complete,0,0
6,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0006/20260718T053804.497153Z_exp31_formal_v1_9b06805,complete,0,0
7,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0007/20260718T053805.635675Z_exp31_formal_v1_9b06805,complete,0,0
8,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0008/20260718T053806.785439Z_exp31_formal_v1_9b06805,complete,0,0
9,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0009/20260718T053807.944008Z_exp31_formal_v1_9b06805,complete,0,0
10,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0010/20260718T053809.089384Z_exp31_formal_v1_9b06805,complete,0,0
11,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0011/20260718T053810.205151Z_exp31_formal_v1_9b06805,complete,0,0
12,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0012/20260718T053811.325257Z_exp31_formal_v1_9b06805,complete,0,0
13,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0013/20260718T053812.533480Z_exp31_formal_v1_9b06805,complete,0,0
14,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0014/20260718T053813.693223Z_exp31_formal_v1_9b06805,complete,0,0
15,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0015/20260718T053814.833450Z_exp31_formal_v1_9b06805,complete,0,0
16,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0016/20260718T053815.945154Z_exp31_formal_v1_9b06805,complete,0,0
17,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0017/20260718T053817.075005Z_exp31_formal_v1_9b06805,complete,0,0
18,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0018/20260718T053818.212238Z_exp31_formal_v1_9b06805,complete,0,0
19,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0019/20260718T053819.349203Z_exp31_formal_v1_9b06805,complete,0,0
20,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0020/20260718T053820.477144Z_exp31_formal_v1_9b06805,complete,0,0
21,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0021/20260718T053821.652239Z_exp31_formal_v1_9b06805,complete,0,0
22,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0022/20260718T053822.785238Z_exp31_formal_v1_9b06805,complete,0,0
23,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0023/20260718T053823.929314Z_exp31_formal_v1_9b06805,complete,0,0
24,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0024/20260718T053825.060119Z_exp31_formal_v1_9b06805,complete,0,0
25,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0025/20260718T053826.169857Z_exp31_formal_v1_9b06805,complete,0,0
26,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0026/20260718T053827.261145Z_exp31_formal_v1_9b06805,complete,0,0
27,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0027/20260718T053828.377595Z_exp31_formal_v1_9b06805,complete,0,0
28,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0028/20260718T053829.504373Z_exp31_formal_v1_9b06805,complete,0,0
29,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0029/20260718T053830.653214Z_exp31_formal_v1_9b06805,complete,0,0
