analysis_fingerprint,data_fingerprint,dataset_pair,profile,latent_dim,model,nll_per_scalar_mean,nll_per_scalar_std,nll_per_scalar_median,nll_per_scalar_min,nll_per_scalar_max,one_step_r2_mean,one_step_r2_std,one_step_r2_median,one_step_r2_min,one_step_r2_max,rollout_nrmse_mean,rollout_nrmse_std,rollout_nrmse_median,rollout_nrmse_min,rollout_nrmse_max,parameter_count_mean,parameter_count_std,parameter_count_median,parameter_count_min,parameter_count_max,effective_rank_mean,effective_rank_std,effective_rank_median,effective_rank_min,effective_rank_max,top_k_singular_energy_mean,top_k_singular_energy_std,top_k_singular_energy_median,top_k_singular_energy_min,top_k_singular_energy_max,subspace_angle_degrees_mean,subspace_angle_degrees_std,subspace_angle_degrees_median,subspace_angle_degrees_min,subspace_angle_degrees_max,n_computational_seeds
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,common,-0.23588853352090738,0.013949251516289769,-0.23740589315678576,-0.2643121402035355,-0.2113780128103898,-0.0003977643507315796,0.0004917858182483508,-0.0005682281583952833,-0.0011336893546542999,0.0007054162717336667,1.0131984796451365,0.0012418413733979302,1.012948685154949,1.0100060972371663,1.0148269004499006,1452.0,0.0,1452.0,1452.0,1452.0,6.170966917218219,0.2827501765234537,6.160476266906212,5.671263767850057,6.731756695716097,0.9209321860713743,0.016946195409411988,0.9216693623114979,0.8862397393131638,0.945032928105969,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,orthogonal,-0.23226058296798943,0.013926665901947848,-0.2336586015866144,-0.25963784457274874,-0.2085090140459013,-0.00267026813637768,0.0002883021425113811,-0.00263631238462495,-0.003206211642813333,-0.0020626713928336665,1.013148803730132,0.0012305563159215112,1.0127920302212143,1.009944955634252,1.0148244301913398,1532.0,0.0,1532.0,1532.0,1532.0,6.351000309796551,0.14505229634516434,6.355003950016792,5.965988385485112,6.6439045987318925,0.9001770800626445,0.01234273329130044,0.8980625368537876,0.879621680992917,0.931135585709149,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,random,-0.23374653886767033,0.014057301361195384,-0.23508508875065676,-0.2618481872335056,-0.20983528791493541,-0.0029647800750550483,0.00032983812025683205,-0.0029982254989619666,-0.003506201182919333,-0.0023311768099763,1.013240966936444,0.0012465379063530142,1.013021605865457,1.0100207788027504,1.0148725286727507,544.0,0.0,544.0,544.0,544.0,6.211663019575023,0.1312824755574705,6.200288641944448,5.941107427181477,6.426839537217038,0.9077356308140845,0.009341789019063233,0.9081495793175473,0.8886892129669074,0.9245430333863149,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,separate,-0.21974741456932265,0.01619713824724987,-0.21797727820557022,-0.249774350387191,-0.18995870039914245,-0.0010906400567266318,0.0004977450946751986,-0.00118749406281545,-0.002118473637243233,8.975638830586667e-05,1.0137696802081606,0.0012314149760433402,1.0135061357886928,1.010763582628611,1.015504945895897,2776.0,0.0,2776.0,2776.0,2776.0,5.132303011629974,0.18533903377980995,5.069176203095556,4.919876539176045,5.631595244999212,0.9697289537747784,0.0067101618347812425,0.9705117309560358,0.9497691865811286,0.9777509486381031,89.10561351636011,0.33269685068786276,89.19247225368673,88.48415606931356,89.75768621843285,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,shared,-0.23572276791034952,0.013948071253330228,-0.23726409786845667,-0.26416036655907216,-0.21102281879680795,-0.0010672906740915099,0.0005647821323859138,-0.0010668377863352,-0.0019424901736024664,0.00025917962441413347,1.0139733042993682,0.0012478554320778572,1.0137815527385035,1.0109224967404165,1.0157480293034282,1532.0,0.0,1532.0,1532.0,1532.0,5.441968720550469,0.2250152675587097,5.434758128181659,5.10118626454515,5.85895643828736,0.9526542513706986,0.010943214963080313,0.9514313573301463,0.926542462498991,0.9688772469935923,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,8,shuffled,-0.23449296764916094,0.01395178093529951,-0.23568251687056385,-0.2627460283573339,-0.21067710063058573,-0.0027684921961371916,0.0002816600107767232,-0.0027658265028019163,-0.0032649434716539665,-0.0022223123383399664,1.0135640530702041,0.0012367626650488424,1.0133011106736167,1.0104420897143298,1.01530689116676,1532.0,0.0,1532.0,1532.0,1532.0,5.430934638847221,0.2048960846297165,5.46675787447251,5.050328590160748,5.805753758812853,0.9522616425489657,0.008801527947278957,0.9512169223911556,0.9338533086985906,0.9673320888390032,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,common,-0.22544420886665478,0.013913821645232178,-0.22691765208894363,-0.25329604673664313,-0.20115133093361592,-9.651909279711265e-05,0.0005110547688108013,-0.00023382836191166665,-0.0007625234508552999,0.0010364605777581665,1.013198153231389,0.001241828028642031,1.0129480000886077,1.010005999022488,1.014826429472617,2584.0,0.0,2584.0,2584.0,2584.0,11.293237311389742,0.4196364537051636,11.264094799042503,10.588595911331796,12.150027595975843,0.7896265939085085,0.02572921257150433,0.793287399726379,0.7439746489913928,0.8444345155783877,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,orthogonal,-0.2218140873753332,0.013880843371412661,-0.22300205016655306,-0.24963240820680344,-0.1980423504172504,-0.0027768139070016434,0.0003326715545238254,-0.0028259840511078,-0.003432292058779967,-0.0022247508106459997,1.0131442773602082,0.0012525193455308363,1.012872432312552,1.009923256628719,1.0147419272347984,2872.0,0.0,2872.0,2872.0,2872.0,12.562617111032441,0.1255873084631367,12.558715792750188,12.26613126434595,12.81759174208454,0.6489673881024681,0.011977211544158924,0.6485414332501542,0.6268076607867343,0.6667748165090056,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,random,-0.22548588450740592,0.013903698573487857,-0.22691231037689527,-0.2534272187675932,-0.20201112168558857,-0.0029088935733547682,0.00032144327194286886,-0.002967027272082667,-0.0034542164280244665,-0.0022766884085349665,1.0132561608287372,0.0012497692137024325,1.0129941275673362,1.0100280018700845,1.0150269164044092,960.0,0.0,960.0,960.0,960.0,12.445663586957675,0.1344639834005292,12.451740923613983,12.256791854736989,12.664191899086639,0.666820776352038,0.013030749070340037,0.6683870108687342,0.6464800793616805,0.695976577989914,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,separate,-0.20787987220878903,0.016149102934311252,-0.20618108647776087,-0.2380181020006149,-0.17773415837370585,-0.0009128102723470583,0.000528036216570499,-0.0009883627042103,-0.0018006794642021335,0.00028956017809766656,1.0137691985172932,0.0012311497111036872,1.0135053040872568,1.0107638663386878,1.0155061855177847,5040.0,0.0,5040.0,5040.0,5040.0,10.687846401193795,0.16145485194329884,10.684303541640288,10.430319148202106,11.02640130163559,0.8327155601429125,0.01270577077368072,0.8378776270415964,0.8070005706004982,0.8500811059493042,89.3776198152963,0.269314610753922,89.41485601615005,88.79513846066224,89.81644952572545,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,shared,-0.2252870062167142,0.013910017439792654,-0.22674815471465498,-0.253119296596853,-0.20070828669719576,-0.000526629750582875,0.0006123353856499729,-0.0006066894882196334,-0.0012952459664255,0.0010053840084880668,1.013920558769002,0.0012328988554493002,1.0136444626056234,1.0108587868077465,1.0157397230209078,2872.0,0.0,2872.0,2872.0,2872.0,10.900172713457012,0.2576169334097269,10.845683304837522,10.504718525141769,11.43752856313794,0.8131953624984621,0.01691534437541562,0.8151584124622686,0.777140283853884,0.844142720426016,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,16,shuffled,-0.22630601929076294,0.013988893449625719,-0.22764111104972057,-0.2546116778229111,-0.20246212036106168,-0.0026535296546246184,0.00028023948029718733,-0.002653215664184517,-0.0031778126612641666,-0.0021743029670738667,1.0135719573701603,0.0012265872304758666,1.0133239559139695,1.0104720879352185,1.0152421246089272,2872.0,0.0,2872.0,2872.0,2872.0,11.666965012580569,0.17532382085330567,11.670438982029282,11.334800396316444,11.982629458418247,0.7508104555373847,0.01647571804494089,0.7526835840246641,0.7181735739379578,0.7755948694216448,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,common,-0.1975143492152986,0.013775622502960539,-0.1990894306533562,-0.2249916586914539,-0.1733424735973148,5.575050748649083e-05,0.0005613382964989696,-3.9615831077149976e-05,-0.0006242528794764332,0.0013484007702362331,1.0131981086147626,0.0012421651004361392,1.0129475958488259,1.0100054340437037,1.0148269219306358,5040.0,0.0,5040.0,5040.0,5040.0,22.98832444310802,0.2707252239970864,22.927302789186477,22.51738148778995,23.52157187744454,0.5856735040207783,0.016678324368101866,0.5843782602191716,0.5585333411382024,0.6191315363434963,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,orthogonal,-0.19990215014766988,0.014028649140752962,-0.20141729593486507,-0.22772670176163426,-0.17607580980806914,-0.003317730222192805,0.00040251882581924777,-0.0034519490666366165,-0.004053811285067567,-0.0025710273479443335,1.0131548565913078,0.0012457530083805793,1.0129071152399487,1.009967452176764,1.014773220510565,6128.0,0.0,6128.0,6128.0,6128.0,25.341430272170708,0.14144930818640436,25.33247401533841,25.06959946025356,25.659085836384666,0.3954883317280997,0.010122891141091512,0.39575557207609224,0.38071128813073907,0.4105810134320021,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,random,-0.20477612695711667,0.013952740307793437,-0.20630734428060576,-0.23201768959316246,-0.18176877070998407,-0.00309313982979788,0.000355655671395016,-0.0031506042604614332,-0.003587395717871667,-0.0025163264794832003,1.013357267688231,0.001246695093083496,1.013116619801732,1.0101596922303282,1.014967773764997,2560.0,0.0,2560.0,2560.0,2560.0,24.87504546313028,0.15710702826120135,24.8706126429181,24.609672472282927,25.213004708374616,0.43781465306394096,0.011825912795432585,0.4375298249687154,0.4129536622520695,0.45796770906828704,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,separate,-0.177320591891331,0.015997288223087776,-0.17626419037777336,-0.20701543490210042,-0.1466694308972134,-0.0015344417682636334,0.0005936359730525061,-0.0016172389996213332,-0.0024614364070950335,-0.0001392202530247666,1.0137689586981677,0.0012313996903867788,1.0135074850348755,1.010761763397717,1.0155054748274364,9952.0,0.0,9952.0,9952.0,9952.0,23.336191108108892,0.160114693667385,23.31919210297025,23.033511258725113,23.586264662865457,0.5752362684747716,0.011928015617577925,0.5746571205997558,0.5518696720091785,0.5949138771151382,89.6164605935079,0.20284923253987228,89.61755835820605,89.07263828723421,89.95617405622862,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,shared,-0.19721547686488017,0.013782670934205713,-0.19877098834658874,-0.22471525170494464,-0.17268650635605756,-0.00038504852854569335,0.00064179023939422,-0.00041651934250455,-0.0013012875117050333,0.0011758562015858332,1.013862843830511,0.0012425632340594254,1.0135645706953507,1.0107733531439995,1.0156484318001524,6128.0,0.0,6128.0,6128.0,6128.0,23.352032327514657,0.16093634481076124,23.34545018066435,23.076232013651254,23.612062168730564,0.5669846205204161,0.01176174956083978,0.565980051812083,0.542905992455252,0.5857083688814595,0.0,0.0,0.0,0.0,0.0,20
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,32,shuffled,-0.20600769887657763,0.013930739055771243,-0.20716650377913925,-0.2336110126639075,-0.1824938662170005,-0.0026764741980300254,0.00028735676590838994,-0.002781095318042105,-0.0031102882810371004,-0.0022217142735756743,1.013618495451662,0.0012272484158784554,1.013335812367068,1.0105210615290694,1.0152948125208414,6128.0,0.0,6128.0,6128.0,6128.0,24.45769572944064,0.16524926821712418,24.504078848291982,24.162985580555304,24.741454700172557,0.48184729869720117,0.012178828735643958,0.4821348555853969,0.45438008796715085,0.5017068965818827,0.0,0.0,0.0,0.0,0.0,20
